1f004,mahjong-red-dragon,mahjong
1f0cf,joker,black-joker
1f170,a-button,a
1f171,b-button,b
1f17e,o-button,o2
1f17f,p-button,parking
1f18e,ab-button,ab
1f191,squared-cl,cl
1f192,squared-cool,cool
1f193,squared-free,free
1f194,squared-id,id
1f195,squared-new,new
1f196,squared-ng,ng
1f197,squared-ok,ok
1f198,squared-sos,sos
1f199,upexc-button,up
1f19a,squared-vs,vs
1f1e6-1f1e8,ascension-island-flag
1f1e6-1f1e9,andorra-flag
1f1e6-1f1ea,emirates-uae-united-flag
1f1e6-1f1eb,afghanistan-flag
1f1e6-1f1ec,antigua-barbuda-flag
1f1e6-1f1ee,anguilla-flag
1f1e6-1f1f1,albania-flag
1f1e6-1f1f2,armenia-flag
1f1e6-1f1f4,angola-flag
1f1e6-1f1f6,antarctica-flag
1f1e6-1f1f7,argentina-flag
1f1e6-1f1f8,american-samoa-flag
1f1e6-1f1f9,austria-flag
1f1e6-1f1fa,australia-flag
1f1e6-1f1fc,aruba-flag
1f1e6-1f1fd,aland-flag
1f1e6-1f1ff,azerbaijan-flag
1f1e6,aa,squared-a
1f1e7-1f1e6,bosnia-herzegovina-flag
1f1e7-1f1e7,barbados-flag
1f1e7-1f1e9,bangladesh-flag
1f1e7-1f1ea,belgium-flag
1f1e7-1f1eb,burkina-faso-flag
1f1e7-1f1ec,bulgaria-flag
1f1e7-1f1ed,bahrain-flag
1f1e7-1f1ee,burundi-flag
1f1e7-1f1ef,benin-flag
1f1e7-1f1f1,barthelemy-barthelemy-saint-flag
1f1e7-1f1f2,bermuda-flag
1f1e7-1f1f3,brunei-darussalam-flag
1f1e7-1f1f4,bolivia-flag
1f1e7-1f1f6,bonaire-caribbean-eustatius-netherlands-saba-sint-flag
1f1e7-1f1f7,brazil-flag
1f1e7-1f1f8,bahamas-flag
1f1e7-1f1f9,bhutan-flag
1f1e7-1f1fb,bouvet-island-flag
1f1e7-1f1fc,botswana-flag
1f1e7-1f1fe,belarus-flag
1f1e7-1f1ff,belize-flag
1f1e7,bb,squared-b
1f1e8-1f1e6,canada-flag
1f1e8-1f1e8,cocos-island-keeling-flag
1f1e8-1f1e9,congo-congo-kinshasa-democratic-republic-of-congo-drc-kinshasa-republic-flag
1f1e8-1f1eb,central-african-republic-republic-flag
1f1e8-1f1ec,brazzaville-congo-congo-republic-congo-brazzaville-republic-republic-of-the-congo-flag
1f1e8-1f1ed,switzerland-flag
1f1e8-1f1ee,cote-ivoire-cote-ivoire-ivory-coast-flag
1f1e8-1f1f0,cook-island-flag
1f1e8-1f1f1,chile-flag
1f1e8-1f1f2,cameroon-flag
1f1e8-1f1f3,china-flag,cn
1f1e8-1f1f4,colombia-flag
1f1e8-1f1f5,clipperton-island-flag
1f1e8-1f1f7,costa-rica-flag
1f1e8-1f1fa,cuba-flag
1f1e8-1f1fb,cabo-cape-verde-flag
1f1e8-1f1fc,antilles-curacao-curaçao-flag
1f1e8-1f1fd,christmas-island-flag
1f1e8-1f1fe,cyprus-flag
1f1e8-1f1ff,czech-republic-flag
1f1e8,cc,squared-c
1f1e9-1f1ea,germany-flag,de
1f1e9-1f1ec,diego-garcia-flag
1f1e9-1f1ef,djibouti-flag
1f1e9-1f1f0,denmark-flag
1f1e9-1f1f2,dominica-flag
1f1e9-1f1f4,dominican-republic-flag
1f1e9-1f1ff,algeria-flag
1f1e9,dd,squared-d
1f1ea-1f1e6,ceuta-melilla-flag
1f1ea-1f1e8,ecuador-flag
1f1ea-1f1ea,estonia-flag
1f1ea-1f1ec,egypt-flag
1f1ea-1f1ed,sahara-west-western-sahara-flag
1f1ea-1f1f7,eritrea-flag
1f1ea-1f1f8,spain-flag,es
1f1ea-1f1f9,ethiopia-flag
1f1ea-1f1fa,european-union-flag
1f1ea,ee,squared-e
1f1eb-1f1ee,finland-flag
1f1eb-1f1ef,fiji-flag
1f1eb-1f1f0,falkland-falklands-island-islas-malvinas-flag
1f1eb-1f1f2,micronesia-flag
1f1eb-1f1f4,faroe-island-flag
1f1eb-1f1f7,france-flag,fr
1f1eb,ff,squared-f
1f1ec-1f1e6,gabon-flag
1f1ec-1f1e7,britain-british-cornwall-england-great-britain-ireland-northern-ireland-scotland-uk-union-jack-united-united-kingdom-wales-flag,gb
1f1ec-1f1e9,grenada-flag
1f1ec-1f1ea,georgia-flag
1f1ec-1f1eb,french-guiana-flag
1f1ec-1f1ec,guernsey-flag
1f1ec-1f1ed,ghana-flag
1f1ec-1f1ee,gibraltar-flag
1f1ec-1f1f1,greenland-flag
1f1ec-1f1f2,gambia-flag
1f1ec-1f1f3,guinea-flag
1f1ec-1f1f5,guadeloupe-flag
1f1ec-1f1f6,equatorial-guinea-guinea-flag
1f1ec-1f1f7,greece-flag
1f1ec-1f1f8,georgia-island-south-south-georgia-south-sandwich-flag
1f1ec-1f1f9,guatemala-flag
1f1ec-1f1fa,guam-flag
1f1ec-1f1fc,bissau-guinea-flag
1f1ec-1f1fe,guyana-flag
1f1ec,gg,squared-g
1f1ed-1f1f0,china-hong-kong-flag
1f1ed-1f1f2,heard-island-mcdonald-flag
1f1ed-1f1f3,honduras-flag
1f1ed-1f1f7,croatia-flag
1f1ed-1f1f9,haiti-flag
1f1ed-1f1fa,hungary-flag
1f1ed,hh,squared-h
1f1ee-1f1e8,canary-island-flag
1f1ee-1f1e9,indonesia-flag
1f1ee-1f1ea,ireland-flag
1f1ee-1f1f1,israel-flag
1f1ee-1f1f2,isle-of-man-flag
1f1ee-1f1f3,india-flag
1f1ee-1f1f4,british-chagos-indian-ocean-island-flag
1f1ee-1f1f6,iraq-flag
1f1ee-1f1f7,iran-flag
1f1ee-1f1f8,iceland-flag
1f1ee-1f1f9,italy-flag,it
1f1ee,ii,squared-i
1f1ef-1f1ea,jersey-flag
1f1ef-1f1f2,jamaica-flag
1f1ef-1f1f4,jordan-flag
1f1ef-1f1f5,japan-flag,jp
1f1ef,jj,squared-j
1f1f0-1f1ea,kenya-flag
1f1f0-1f1ec,kyrgyzstan-flag
1f1f0-1f1ed,cambodia-flag
1f1f0-1f1ee,kiribati-flag
1f1f0-1f1f2,comoros-flag
1f1f0-1f1f3,kitts-nevis-saint-flag
1f1f0-1f1f5,korea-north-north-korea-flag
1f1f0-1f1f7,korea-south-south-korea-flag,kr
1f1f0-1f1fc,kuwait-flag
1f1f0-1f1fe,cayman-island-flag
1f1f0-1f1ff,kazakhstan-flag
1f1f0,kk,squared-k
1f1f1-1f1e6,laos-flag
1f1f1-1f1e7,lebanon-flag
1f1f1-1f1e8,lucia-saint-flag
1f1f1-1f1ee,liechtenstein-flag
1f1f1-1f1f0,sri-lanka-flag
1f1f1-1f1f7,liberia-flag
1f1f1-1f1f8,lesotho-flag
1f1f1-1f1f9,lithuania-flag
1f1f1-1f1fa,luxembourg-flag
1f1f1-1f1fb,latvia-flag
1f1f1-1f1fe,libya-flag
1f1f1,ll,squared-l
1f1f2-1f1e6,morocco-flag
1f1f2-1f1e8,monaco-flag
1f1f2-1f1e9,moldova-flag
1f1f2-1f1ea,montenegro-flag
1f1f2-1f1eb,french-martin-saint-flag
1f1f2-1f1ec,madagascar-flag
1f1f2-1f1ed,island-marshall-flag
1f1f2-1f1f0,macedonia-flag
1f1f2-1f1f1,mali-flag
1f1f2-1f1f2,burma-myanmar-flag
1f1f2-1f1f3,mongolia-flag
1f1f2-1f1f4,china-macao-macau-flag
1f1f2-1f1f5,island-mariana-north-northern-mariana-flag
1f1f2-1f1f6,martinique-flag
1f1f2-1f1f7,mauritania-flag
1f1f2-1f1f8,montserrat-flag
1f1f2-1f1f9,malta-flag
1f1f2-1f1fa,mauritius-flag
1f1f2-1f1fb,maldives-flag
1f1f2-1f1fc,malawi-flag
1f1f2-1f1fd,mexico-flag
1f1f2-1f1fe,malaysia-flag
1f1f2-1f1ff,mozambique-flag
1f1f2,mm,squared-m
1f1f3-1f1e6,namibia-flag
1f1f3-1f1e8,new-new-caledonia-flag
1f1f3-1f1ea,niger-flag
1f1f3-1f1eb,island-norfolk-flag
1f1f3-1f1ec,nigeria-flag
1f1f3-1f1ee,nicaragua-flag
1f1f3-1f1f1,netherlands-flag
1f1f3-1f1f4,norway-flag
1f1f3-1f1f5,nepal-flag
1f1f3-1f1f7,nauru-flag
1f1f3-1f1fa,niue-flag
1f1f3-1f1ff,new-new-zealand-flag
1f1f3,nn,squared-n
1f1f4-1f1f2,oman-flag
1f1f4,oo,squared-o
1f1f5-1f1e6,panama-flag
1f1f5-1f1ea,peru-flag
1f1f5-1f1eb,french-polynesia-flag
1f1f5-1f1ec,guinea-new-papua-new-guinea-flag
1f1f5-1f1ed,philippines-flag
1f1f5-1f1f0,pakistan-flag
1f1f5-1f1f1,poland-flag
1f1f5-1f1f2,miquelon-pierre-saint-flag
1f1f5-1f1f3,island-pitcairn-flag
1f1f5-1f1f7,puerto-rico-flag
1f1f5-1f1f8,palestine-flag
1f1f5-1f1f9,portugal-flag
1f1f5-1f1fc,palau-flag
1f1f5-1f1fe,paraguay-flag
1f1f5,pp,squared-p
1f1f6-1f1e6,qatar-flag
1f1f6,qq,squared-q
1f1f7-1f1ea,reunion-reunion-flag
1f1f7-1f1f4,romania-flag
1f1f7-1f1f8,serbia-flag
1f1f7-1f1fa,russia-flag,ru
1f1f7-1f1fc,rwanda-flag
1f1f7,rr,squared-r
1f1f8-1f1e6,saudi-arabia-flag
1f1f8-1f1e7,island-solomon-flag
1f1f8-1f1e8,seychelles-flag
1f1f8-1f1e9,sudan-flag
1f1f8-1f1ea,sweden-flag
1f1f8-1f1ec,singapore-flag
1f1f8-1f1ed,helena-saint-flag
1f1f8-1f1ee,slovenia-flag
1f1f8-1f1ef,jan-mayen-svalbard-flag
1f1f8-1f1f0,slovakia-flag
1f1f8-1f1f1,sierra-leone-flag
1f1f8-1f1f2,san-marino-flag
1f1f8-1f1f3,senegal-flag
1f1f8-1f1f4,somalia-flag
1f1f8-1f1f7,suriname-flag
1f1f8-1f1f8,south-south-sudan-sudan-flag
1f1f8-1f1f9,principe-principe-sao-tome-sao-tome-flag
1f1f8-1f1fb,el-salvador-flag
1f1f8-1f1fd,maarten-sint-flag
1f1f8-1f1fe,syria-flag
1f1f8-1f1ff,swaziland-flag
1f1f8,ss,squared-s
1f1f9-1f1e6,tristan-da-cunha-flag
1f1f9-1f1e8,caicos-island-turks-flag
1f1f9-1f1e9,chad-flag
1f1f9-1f1eb,antarctic-french-flag
1f1f9-1f1ec,togo-flag
1f1f9-1f1ed,thailand-flag
1f1f9-1f1ef,tajikistan-flag
1f1f9-1f1f0,tokelau-flag
1f1f9-1f1f1,east-east-timor-timor-leste-flag
1f1f9-1f1f2,turkmenistan-flag
1f1f9-1f1f3,tunisia-flag
1f1f9-1f1f4,tonga-flag
1f1f9-1f1f7,turkey-flag
1f1f9-1f1f9,tobago-trinidad-flag
1f1f9-1f1fb,tuvalu-flag
1f1f9-1f1fc,china-taiwan-flag
1f1f9-1f1ff,tanzania-flag
1f1f9,tt,squared-t
1f1fa-1f1e6,ukraine-flag
1f1fa-1f1ec,uganda-flag
1f1fa-1f1f2,america-island-minor-outlying-united-united-states-us-usa-flag
1f1fa-1f1f8,america-stars-and-stripes-united-united-states-flag,us
1f1fa-1f1fe,uruguay-flag
1f1fa-1f1ff,uzbekistan-flag
1f1fa,uu,squared-u
1f1fb-1f1e6,vatican-flag
1f1fb-1f1e8,grenadines-saint-vincent-flag
1f1fb-1f1ea,venezuela-flag
1f1fb-1f1ec,british-island-virgin-flag
1f1fb-1f1ee,america-american-island-united-united-states-us-usa-virgin-flag
1f1fb-1f1f3,viet-nam-vietnam-flag
1f1fb-1f1fa,vanuatu-flag
1f1fb,vv,squared-v
1f1fc-1f1eb,futuna-wallis-flag
1f1fc-1f1f8,samoa-flag
1f1fc,ww,squared-w
1f1fd-1f1f0,kosovo-flag
1f1fd,xx,squared-x
1f1fe-1f1ea,yemen-flag
1f1fe-1f1f9,mayotte-flag
1f1fe,yy,squared-y
1f1ff-1f1e6,south-south-africa-flag
1f1ff-1f1f2,zambia-flag
1f1ff-1f1fc,zimbabwe-flag
1f1ff,zz,squared-z
1f201,squared-katakana-koko,koko
1f202,squared-katakana-sa,sa
1f21a,squared-negation-ideograph,u7121
1f22f,squared-finger-ideograph,u6307
1f232,squared-prohibit-ideograph,u7981
1f233,squared-empty-ideograph,u7a7a
1f234,squared-together-ideograph,u5408
1f235,squared-fullness-ideograph,u6e80
1f236,squared-exist-ideograph,u6709
1f237,squared-moon-ideograph,u6708
1f238,squared-apply-ideograph,u7533
1f239,squared-divide-ideograph,u5272
1f23a,squared-operating-ideograph,u55b6
1f250,circled-advantage-ideograph,ideograph-advantage
1f251,circled-accept-ideograph,accept
1f300,cyclone
1f301,foggy
1f302,closed-umbrella
1f303,night-with-stars,stars
1f304,sunrise-over-mountains
1f305,sunrise
1f306,cityscape-at-dusk,city-sunset
1f307,sunset,city-sunrise
1f308,rainbow
1f309,bridge-at-night
1f30a,water-wave,ocean
1f30b,volcano
1f30c,milky-way
1f30d,globe-showing-europe-africa,earth-africa
1f30e,globe-showing-americas,earth-americas
1f30f,globe-showing-asia-australia,earth-asia
1f310,globe-with-meridians
1f311,new-moon
1f312,waxing-crescent-moon
1f313,first-quarter-moon
1f314,waxing-gibbous-moon
1f315,full-moon
1f316,waning-gibbous-moon
1f317,last-quarter-moon
1f318,waning-crescent-moon
1f319,crescent-moon,moon
1f31a,new-moon-face,new-moon-with-face
1f31b,first-quarter-moon-with-face
1f31c,last-quarter-moon-with-face
1f31d,full-moon-with-face
1f31e,sun-with-face
1f31f,glowing-star,star2
1f320,shooting-star
1f321,thermometer
1f324,sun-behind-small-cloud
1f325,sun-behind-large-cloud
1f326,sun-behind-cloud-with-rain
1f327,cloud-with-rain
1f328,cloud-with-snow
1f329,cloud-with-lightning
1f32a,tornado
1f32b,fog
1f32c,wind-face
1f32d,hot-dog
1f32e,taco
1f32f,burrito
1f330,chestnut
1f331,seedling
1f332,evergreen,evergreen-tree
1f333,deciduous-tree
1f334,palm-tree
1f335,cactus
1f336,hot-pepper
1f337,tulip
1f338,cherry-blossom
1f339,rose
1f33a,hibiscus
1f33b,sunflower
1f33c,blossom
1f33d,ear-of-corn,corn
1f33e,sheaf-of-rice,ear-of-rice
1f33f,herb
1f340,four-leaf-clover
1f341,maple-leaf
1f342,fallen-leaf
1f343,leaf-fluttering-in-wind,leaves
1f344,mushroom
1f345,tomato
1f346,eggplant
1f347,grapes
1f348,melon
1f349,watermelon
1f34a,tangerine
1f34b,lemon
1f34c,banana
1f34d,pineapple
1f34e,red-apple,apple
1f34f,green-apple
1f350,pear
1f351,peach
1f352,cherries
1f353,strawberry
1f354,hamburger
1f355,pizza
1f356,meat-on-bone
1f357,poultry-leg
1f358,rice-cracker
1f359,rice-ball
1f35a,cooked-rice,rice
1f35b,curry-rice,curry
1f35c,steaming-bowl,ramen
1f35d,spaghetti
1f35e,bread
1f35f,french-fries,fries
1f360,roasted-sweet-potato,sweet-potato
1f361,dango
1f362,oden
1f363,sushi
1f364,fried-shrimp
1f365,fish-cake-with-swirl,fish-cake
1f366,soft-ice-cream,icecream
1f367,shaved-ice
1f368,ice-cream
1f369,doughnut
1f36a,cookie
1f36b,chocolate-bar
1f36c,candy
1f36d,lollipop
1f36e,custard
1f36f,honey-pot
1f370,shortcake,cake
1f371,bento-box,bento
1f372,pot-of-food,stew
1f373,cooking
1f374,fork-and-knife
1f375,teacup-without-handle,tea
1f376,sake
1f377,wine-glass
1f378,cocktail-glass,cocktail
1f379,tropical-drink
1f37a,beer-mug,beer
1f37b,clinking-beer-mugs,beers
1f37c,baby-bottle
1f37d,fork-and-knife-with-plate
1f37e,bottle-with-popping-cork
1f37f,popcorn
1f380,ribbon
1f381,wrapped-present,gift
1f382,birthday-cake,birthday
1f383,jack-o-lantern
1f384,christmas-tree
1f385-1f3fb,father-christmas-type-1-2
1f385-1f3fc,father-christmas-type-3
1f385-1f3fd,father-christmas-type-4
1f385-1f3fe,father-christmas-type-5
1f385-1f3ff,father-christmas-type-6
1f385,santa-claus,santa
1f386,fireworks
1f387,sparkler
1f388,balloon
1f389,party-popper,tada
1f38a,confetti-ball
1f38b,tanabata-tree
1f38c,crossed-flags
1f38d,pine-decoration,bamboo
1f38e,japanese-dolls,dolls
1f38f,carp-streamer,flags
1f390,wind-chime
1f391,moon-ceremony,rice-scene
1f392,school-backpack,school-satchel
1f393,graduation-cap,mortar-board
1f396,military-medal
1f397,reminder-ribbon
1f399,studio-microphone
1f39a,level-slider
1f39b,control-knobs
1f39e,film-frames
1f39f,admission-tickets
1f3a0,carousel-horse
1f3a1,ferris-wheel
1f3a2,roller-coaster
1f3a3,fishing-pole,fishing-pole-and-fish
1f3a4,microphone
1f3a5,movie-camera
1f3a6,cinema
1f3a7,headphone,headphones
1f3a8,artist-palette,art
1f3a9,top-hat,tophat
1f3aa,circus-tent
1f3ab,ticket
1f3ac,clapper-board,clapper
1f3ad,performing-arts
1f3ae,video-game
1f3af,direct-hit,dart
1f3b0,slot-machine
1f3b1,billiards,8ball
1f3b2,game-die
1f3b3,bowling
1f3b4,flower-playing-cards
1f3b5,musical-note
1f3b6,musical-notes,notes
1f3b7,saxophone
1f3b8,guitar
1f3b9,musical-keyboard
1f3ba,trumpet
1f3bb,violin
1f3bc,musical-score
1f3bd,running-shirt,running-shirt-with-sash
1f3be,tennis
1f3bf,skis,ski
1f3c0,basketball
1f3c1,chequered-flag,checkered-flag
1f3c2-1f3fb,snowboarder-type-1-2
1f3c2-1f3fc,snowboarder-type-3
1f3c2-1f3fd,snowboarder-type-4
1f3c2-1f3fe,snowboarder-type-5
1f3c2-1f3ff,snowboarder-type-6
1f3c2,snowboarder
1f3c3-1f3fb,runner-type-1-2
1f3c3-1f3fc,runner-type-3
1f3c3-1f3fd,runner-type-4
1f3c3-1f3fe,runner-type-5
1f3c3-1f3ff,runner-type-6
1f3c3,runner
1f3c4-1f3fb,surfer-type-1-2
1f3c4-1f3fc,surfer-type-3
1f3c4-1f3fd,surfer-type-4
1f3c4-1f3fe,surfer-type-5
1f3c4-1f3ff,surfer-type-6
1f3c4,surfer
1f3c5,sports-medal
1f3c6,trophy
1f3c7-1f3fb,horse-racing-type-1-2
1f3c7-1f3fc,horse-racing-type-3
1f3c7-1f3fd,horse-racing-type-4
1f3c7-1f3fe,horse-racing-type-5
1f3c7-1f3ff,horse-racing-type-6
1f3c7,horse-racing
1f3c8,american-football,football
1f3c9,rugby-football
1f3ca-1f3fb,swimmer-type-1-2
1f3ca-1f3fc,swimmer-type-3
1f3ca-1f3fd,swimmer-type-4
1f3ca-1f3fe,swimmer-type-5
1f3ca-1f3ff,swimmer-type-6
1f3ca,swimmer
1f3cb-1f3fb,weight-lifter-type-1-2
1f3cb-1f3fc,weight-lifter-type-3
1f3cb-1f3fd,weight-lifter-type-4
1f3cb-1f3fe,weight-lifter-type-5
1f3cb-1f3ff,weight-lifter-type-6
1f3cb,weight-lifter
1f3cc,golfer
1f3cd,motorcycle
1f3ce,racing-car
1f3cf,cricket
1f3d0,volleyball
1f3d1,field-hockey
1f3d2,ice-hockey-stick-and-puck
1f3d3,ping-pong
1f3d4,snow-capped-mountain
1f3d5,camping
1f3d6,beach-with-umbrella
1f3d7,building-construction
1f3d8,house-buildings
1f3d9,cityscape
1f3da,derelict-house-building
1f3db,classical-building
1f3dc,desert
1f3dd,desert-island
1f3de,national-park
1f3df,stadium
1f3e0,house-building,house
1f3e1,house-with-garden
1f3e2,office-building,office
1f3e3,japanese-post-office
1f3e4,post-office,european-post-office
1f3e5,hospital
1f3e6,bank
1f3e7,atm-sign,atm
1f3e8,hotel
1f3e9,love-hotel
1f3ea,convenience-store
1f3eb,school
1f3ec,department-store
1f3ed,factory
1f3ee,red-paper-lantern
1f3ef,japanese-castle
1f3f0,castle,european-castle
1f3f3-fe0f-200d-1f308,rainbow-flag,pride
1f3f3,waving-white-flag
1f3f4-200d-2620-fe0f,pirate-flag,jolly-roger
1f3f4,waving-black-flag
1f3f5,rosette
1f3f7,label
1f3f8,badminton
1f3f9,bow-and-arrow
1f3fa,amphora
1f3fb,skin-type-1-2
1f3fc,skin-type-3
1f3fd,skin-type-4
1f3fe,skin-type-5
1f3ff,skin-type-6
1f400,rat
1f401,mouse,mouse2
1f402,ox
1f403,water-buffalo
1f404,cow,cow2
1f405,tiger,tiger2
1f406,leopard
1f407,rabbit,rabbit2
1f408,cat,cat2
1f409,dragon
1f40a,crocodile
1f40b,whale,whale2
1f40c,snail
1f40d,snake
1f40e,horse,racehorse
1f40f,ram
1f410,goat
1f411,sheep
1f412,monkey
1f413,rooster
1f414,chicken
1f415,dog,dog2
1f416,pig,pig2
1f417,boar
1f418,elephant
1f419,octopus
1f41a,spiral-shell,shell
1f41b,bug
1f41c,ant
1f41d,honeybee
1f41e,lady-beetle,beetle
1f41f,fish
1f420,tropical-fish
1f421,blowfish
1f422,turtle
1f423,hatching-chick
1f424,baby-chick
1f425,front-facing-baby-chick,hatched-chick
1f426,bird
1f427,penguin
1f428,koala
1f429,poodle
1f42a,camel,dromedary-camel
1f42b,two-hump-camel
1f42c,dolphin
1f42d,mouse-face
1f42e,cow-face
1f42f,tiger-face
1f430,rabbit-face
1f431,cat-face
1f432,dragon-face
1f433,spouting-whale
1f434,horse-face
1f435,monkey-face
1f436,dog-face
1f437,pig-face
1f438,frog-face,frog
1f439,hamster-face,hamster
1f43a,wolf-face,wolf
1f43b,bear-face,bear
1f43c,panda-face
1f43d,pig-nose
1f43e,paw-prints
1f43f,chipmunk
1f440,eyes
